date_time,amount,method,btc,ltc,usdt
2026-09-01 22:59:06.760574,4590.00,BALANCE,0,0,0
2026-09-01 22:16:14.45843,2870.00,BALANCE,0,0,0
2026-09-01 22:09:27.409719,540.00,BALANCE,0,0,0
2026-09-01 21:46:09.805537,3600.00,nirvana,0,0,0
2026-09-01 21:31:58.387395,3240.00,BALANCE,0,0,0
2026-09-01 21:19:16.1725,3210.00,BALANCE,0,0,0
2026-09-01 20:54:16.966406,7500.00,BALANCE,0,0,0
2026-09-01 20:51:42.991755,3300.00,reptiloid,0,0,0
2026-09-01 20:42:19.661999,3300.00,transa,0,0,0
2026-09-01 20:33:55.662791,3600.00,reptiloid,0,0,0
2026-09-01 20:32:49.681207,0.00,BALANCE,0,0,0
2026-09-01 20:27:37.475229,3300.00,reptiloid,0,0,0
2026-09-01 20:16:28.906081,3300.00,reptiloid,0,0,0
2026-09-01 20:06:51.282254,3600.00,reptiloid,0,0,0
2026-09-01 20:01:21.477068,3300.00,nirvana,0,0,0
2026-09-01 19:49:12.419658,3300.00,reptiloid,0,0,0
2026-09-01 19:42:59.999877,3600.00,BALANCE,0,0,0
2026-09-01 19:42:15.733661,3300.00,reptiloid,0,0,0
2026-09-01 19:28:55.222935,3300.00,reptiloid,0,0,0
2026-09-01 18:56:44.479658,3600.00,transa,0,0,0
2026-09-01 18:51:40.884341,3300.00,BALANCE,0,0,0
2026-09-01 18:51:02.854754,5200.00,BALANCE,0,0,0
2026-09-01 18:45:09.531399,3320.00,BALANCE,0,0,0
2026-09-01 18:41:10.367081,3300.00,BALANCE,0,0,0
2026-09-01 18:34:38.612084,3300.00,card,0,0,0
2026-09-01 18:09:00.806934,3300.00,card,0,0,0
2026-09-01 17:49:52.64836,3300.00,BALANCE,0,0,0
2026-09-01 17:31:00.118642,3300.00,BALANCE,0,0,0
2026-09-01 17:15:41.831453,3300.00,BALANCE,0,0,0
2026-09-01 16:30:26.189068,5200.00,BALANCE,0,0,0
2026-09-01 16:26:25.902581,19000.00,BALANCE,0,0,0
2026-09-01 16:09:20.750089,5200.00,BALANCE,0,0,0
2026-09-01 15:59:20.613146,6300.00,BALANCE,0,0,0
2026-09-01 15:59:07.79477,3600.00,BALANCE,0,0,0
2026-09-01 15:51:32.062559,7500.00,BALANCE,0,0,0
2026-09-01 15:45:15.703497,2955.00,BALANCE,0,0,0
2026-09-01 15:44:49.762919,8200.00,BALANCE,0,0,0
2026-09-01 15:08:29.700919,6905.00,BALANCE,0,0,0
2026-09-01 15:06:52.323008,3030.00,BALANCE,0,0,0
2026-09-01 14:56:45.68744,530.00,BALANCE,0,0,0
2026-09-01 14:31:14.138233,0.00,BALANCE,0,0,0
2026-09-01 14:09:33.496354,3600.00,BALANCE,0,0,0
2026-09-01 13:27:33.773738,3300.00,BALANCE,0,0,0
2026-09-01 13:02:05.971873,3600.00,BALANCE,0,0,0
2026-09-01 10:55:57.233063,5400.00,reptiloid,0,0,0
2026-09-01 10:50:38.519214,18050.00,BALANCE,0,0,0
2026-09-01 09:57:48.728305,3600.00,BALANCE,0,0,0
2026-09-01 09:52:00.06484,5400.00,reptiloid,0,0,0
2026-09-01 09:39:47.184678,3600.00,reptiloid,0,0,0
2026-09-01 09:21:02.44075,3300.00,card,0,0,0
2026-09-01 08:55:39.488437,3300.00,card,0,0,0
2026-09-01 08:52:26.810258,3600.00,transa,0,0,0
2026-09-01 08:36:56.691393,3300.00,reptiloid,0,0,0
2026-09-01 08:16:33.844444,8200.00,reptiloid,0,0,0
2026-09-01 07:56:52.093204,11500.00,card,0,0,0
2026-09-01 07:20:35.852165,8200.00,BALANCE,0,0,0
2026-09-01 06:53:03.280884,3420.00,BALANCE,0,0,0
2026-09-01 02:09:30.279219,425.0000,LTC,0,0.12147411,0
2026-09-01 01:38:52.977441,5235.00,BALANCE,0,0,0
2026-09-01 00:53:28.091385,2760.00,BALANCE,0,0,0
2026-09-01 00:25:51.757348,4500.00,BALANCE,0,0,0
2026-09-01 00:06:25.890196,3600.00,reptiloid,0,0,0
2026-09-01 00:01:16.332625,5600.00,transa,0,0,0
2026-08-31 23:56:47.038114,3300.00,BALANCE,0,0,0
2026-08-31 23:38:17.242245,3600.00,BALANCE,0,0,0
2026-08-31 23:04:03.670638,5200.00,transa,0,0,0
2026-08-31 22:26:43.615155,8200.00,card,0,0,0
2026-08-31 22:17:07.808729,7800.00,transa,0,0,0
2026-08-31 21:59:54.0364,5600.00,reptiloid,0,0,0
2026-08-31 21:45:05.266334,7800.00,reptiloid,0,0,0
2026-08-31 21:27:00.37796,835.00,BALANCE,0,0,0
2026-08-31 21:08:16.896353,0.00,BALANCE,0,0,0
2026-08-31 21:01:59.447887,8200.00,transa,0,0,0
2026-08-31 20:51:24.330346,3300.00,nirvana,0,0,0
2026-08-31 20:13:28.195976,7500.00,card,0,0,0
2026-08-31 20:00:39.2055,500.00,BALANCE,0,0,0
2026-08-31 19:59:32.440371,1945.00,BALANCE,0,0,0
2026-08-31 19:59:18.827553,4680.00,BALANCE,0,0,0
2026-08-31 19:40:06.121318,500.00,BALANCE,0,0,0
2026-08-31 19:31:11.098989,3300.00,card,0,0,0
2026-08-31 19:30:21.125425,1100.00,BALANCE,0,0,0
2026-08-31 19:30:17.255172,500.00,BALANCE,0,0,0
2026-08-31 19:24:39.679945,3300.00,reptiloid,0,0,0
2026-08-31 19:23:07.471635,500.00,BALANCE,0,0,0
2026-08-31 19:20:52.322953,18050.00,BALANCE,0,0,0
2026-08-31 19:01:38.11256,7225.00,BALANCE,0,0,0
2026-08-31 18:49:41.996739,5600.00,transa,0,0,0
2026-08-31 18:46:07.116241,3600.00,BALANCE,0,0,0
2026-08-31 18:31:59.465304,525.00,BALANCE,0,0,0
2026-08-31 18:31:51.081815,8200.00,reptiloid,0,0,0
2026-08-31 18:17:54.786661,5025.00,BALANCE,0,0,0
2026-08-31 18:14:54.153894,7800.00,BALANCE,0,0,0
2026-08-31 18:05:43.951094,3300.00,reptiloid,0,0,0
2026-08-31 18:02:55.588995,3600.00,BALANCE,0,0,0
2026-08-31 17:46:43.066164,7800.00,card,0,0,0
2026-08-31 17:38:03.154666,5250.000,USDT,0,0,71.450000
2026-08-31 17:34:55.919504,7800.00,reptiloid,0,0,0
2026-08-31 17:34:36.896367,3300.00,reptiloid,0,0,0
2026-08-31 16:21:17.115268,7800.00,card,0,0,0
2026-08-31 15:43:44.656765,8200.00,transa,0,0,0
2026-08-31 15:40:57.238312,2820.00,BALANCE,0,0,0
2026-08-31 15:25:24.596258,7800.00,reptiloid,0,0,0
2026-08-31 15:02:08.483334,3600.00,transa,0,0,0
2026-08-31 14:57:33.356134,2520.000,USDT,0,0,34.296000
2026-08-31 14:51:32.222282,3600.00,reptiloid,0,0,0
2026-08-31 14:49:29.929584,3600.00,card,0,0,0
2026-08-31 14:45:53.045481,5600.00,reptiloid,0,0,0
2026-08-31 14:37:00.166195,5200.00,transa,0,0,0
2026-08-31 14:36:38.774211,5400.00,transa,0,0,0
2026-08-31 14:32:32.63458,5400.00,card,0,0,0
2026-08-31 13:46:38.559422,3600.00,transa,0,0,0
2026-08-31 13:38:45.629264,7500.00,transa,0,0,0
2026-08-31 13:28:29.252363,3300.00,card,0,0,0
2026-08-31 13:23:17.543326,3600.00,reptiloid,0,0,0
2026-08-31 13:15:27.2178,3300.00,transa,0,0,0
2026-08-31 12:50:38.226247,3135.00,BALANCE,0,0,0
2026-08-31 12:42:23.162481,3600.00,transa,0,0,0
2026-08-31 12:38:43.643533,3600.00,reptiloid,0,0,0
2026-08-31 12:37:20.214633,7500.00,transa,0,0,0
2026-08-31 11:45:21.417954,7800.00,BALANCE,0,0,0
2026-08-31 11:39:49.770818,7800.00,BALANCE,0,0,0
2026-08-31 11:15:57.361371,5200.00,reptiloid,0,0,0
2026-08-31 11:15:25.96545,1000.00,BALANCE,0,0,0
2026-08-31 11:14:12.305252,5210.00,BALANCE,0,0,0
2026-08-31 11:07:51.794326,7800.00,transa,0,0,0
2026-08-31 11:05:27.821487,7380.00,BALANCE,0,0,0
2026-08-31 11:03:54.484109,3300.00,card,0,0,0
2026-08-31 10:52:14.560315,8200.00,transa,0,0,0
2026-08-31 09:49:24.246178,3300.00,transa,0,0,0
2026-08-31 09:20:53.508001,3600.00,BALANCE,0,0,0
2026-08-31 08:13:52.639653,5400.00,reptiloid,0,0,0
2026-08-31 08:00:30.505406,7500.00,card,0,0,0
2026-08-31 06:18:47.73552,3600.00,reptiloid,0,0,0
2026-08-31 00:56:01.542876,5400.00,reptiloid,0,0,0
2026-08-31 00:42:19.997823,5600.00,reptiloid,0,0,0
2026-08-31 00:38:34.742839,3300.00,reptiloid,0,0,0
