date_time,amount,method,btc,ltc,usdt
2026-09-01 17:02:38.373524,4300.00,reptiloid,0,0,0
2026-09-01 16:57:56.372166,7700.00,BALANCE,0,0,0
2026-09-01 16:50:50.671669,0.00,BALANCE,0,0,0
2026-09-01 16:32:19.33406,0.00,BALANCE,0,0,0
2026-09-01 16:17:30.908948,7200.00,card,0,0,0
2026-09-01 16:11:02.298337,4300.00,reptiloid,0,0,0
2026-09-01 15:35:40.364122,4300.00,reptiloid,0,0,0
2026-09-01 15:18:53.190563,4300.00,card,0,0,0
2026-09-01 15:02:08.246689,1900.00,card,0,0,0
2026-09-01 14:59:33.213884,4300.00,reptiloid,0,0,0
2026-09-01 14:09:23.940462,10500.00,merchant001,0,0,0
2026-09-01 14:08:25.547684,10500.00,BALANCE,0,0,0
2026-09-01 14:06:13.115064,1300.00,BALANCE,0,0,0
2026-09-01 14:04:10.829485,4300.00,reptiloid,0,0,0
2026-09-01 14:02:55.18583,10500.00,reptiloid,0,0,0
2026-09-01 14:02:41.611434,4300.00,card,0,0,0
2026-09-01 13:32:24.389913,1900.00,reptiloid,0,0,0
2026-09-01 13:25:44.795984,4300.00,card,0,0,0
2026-09-01 13:18:55.710459,0.00,BALANCE,0,0,0
2026-09-01 13:15:28.351595,4300.00,card,0,0,0
2026-09-01 13:02:55.586137,1300.00,BALANCE,0,0,0
2026-09-01 12:50:46.42801,7200.00,merchant001,0,0,0
2026-09-01 12:45:01.42018,7200.00,BALANCE,0,0,0
2026-09-01 12:44:11.263564,4300.00,reptiloid,0,0,0
2026-09-01 12:42:48.33881,7200.00,reptiloid,0,0,0
2026-09-01 12:42:36.281396,7200.00,reptiloid,0,0,0
2026-09-01 12:41:54.262892,7200.00,reptiloid,0,0,0
2026-09-01 12:38:37.340072,4300.00,reptiloid,0,0,0
2026-09-01 12:33:35.769908,1300.00,BALANCE,0,0,0
2026-09-01 12:33:17.748262,1900.00,card,0,0,0
2026-09-01 12:26:42.935332,1900.00,reptiloid,0,0,0
2026-09-01 12:25:19.330833,1900.00,card,0,0,0
2026-09-01 11:53:56.272656,1900.00,card,0,0,0
2026-09-01 10:36:38.482608,4300.00,reptiloid,0,0,0
2026-09-01 09:31:37.488138,4300.00,reptiloid,0,0,0
2026-09-01 09:09:19.425443,4300.00,card,0,0,0
2026-09-01 08:40:37.863461,4300.00,reptiloid,0,0,0
2026-09-01 08:17:10.056765,1300.00,BALANCE,0,0,0
2026-09-01 07:49:58.684301,3200.00,reptiloid,0,0,0
2026-09-01 06:32:35.323324,3800.00,BALANCE,0,0,0
