date_time,amount,method,btc,ltc,usdt
2026-09-08 00:19:57.417498,10500.00,merchant001,0,0,0
2026-09-07 23:59:49.961433,10500.00,BALANCE,0,0,0
2026-09-07 23:56:42.979023,7200.00,BALANCE,0,0,0
2026-09-07 23:42:52.573273,3200.00,BALANCE,0,0,0
2026-09-07 23:37:46.055218,4300.00,reptiloid,0,0,0
2026-09-07 23:14:29.699013,4300.00,reptiloid,0,0,0
2026-09-07 23:03:03.255086,4300.00,card,0,0,0
2026-09-07 22:58:22.476881,1900.00,reptiloid,0,0,0
2026-09-07 22:47:41.089178,4300.00,nirvana,0,0,0
2026-09-07 22:18:24.886009,7200.00,card,0,0,0
2026-09-07 22:06:57.741037,4300.00,merchant001,0,0,0
2026-09-07 22:05:35.134603,3200.00,reptiloid,0,0,0
2026-09-07 21:58:46.009343,4300.00,reptiloid,0,0,0
2026-09-07 21:57:05.28692,7200.00,reptiloid,0,0,0
2026-09-07 21:56:25.722322,7200.00,reptiloid,0,0,0
2026-09-07 21:52:21.182393,7200.00,reptiloid,0,0,0
2026-09-07 21:39:11.148914,3200.00,merchant001,0,0,0
2026-09-07 21:26:47.172885,7200.00,reptiloid,0,0,0
2026-09-07 20:49:04.002939,7200.00,merchant001,0,0,0
2026-09-07 20:45:19.53049,6700.00,BALANCE,0,0,0
2026-09-07 20:40:37.585019,0.00,BALANCE,0,0,0
2026-09-07 20:37:42.743198,7700.00,BALANCE,0,0,0
2026-09-07 20:35:18.082606,3200.00,BALANCE,0,0,0
2026-09-07 20:29:19.246559,0.00,BALANCE,0,0,0
2026-09-07 20:20:41.768709,4500.00,reptiloid,0,0,0
2026-09-07 20:15:04.339264,4200.00,BALANCE,0,0,0
2026-09-07 20:05:25.156591,7200.00,reptiloid,0,0,0
2026-09-07 20:02:32.312177,7200.00,reptiloid,0,0,0
2026-09-07 19:52:13.127005,7200.00,reptiloid,0,0,0
2026-09-07 19:51:50.036667,7200.00,reptiloid,0,0,0
2026-09-07 19:46:13.494826,4300.00,transa,0,0,0
2026-09-07 19:38:48.992806,7200.00,reptiloid,0,0,0
2026-09-07 19:15:56.150886,5040.000,USDT,0,0,71.813000
2026-09-07 18:53:48.407539,7400.00,card,0,0,0
2026-09-07 18:50:32.814478,3200.00,merchant001,0,0,0
2026-09-07 18:45:29.937697,4200.00,BALANCE,0,0,0
2026-09-07 18:37:37.80753,5050.00,BALANCE,0,0,0
2026-09-07 18:32:54.736861,4700.00,BALANCE,0,0,0
2026-09-07 18:19:45.148952,7200.00,BALANCE,0,0,0
2026-09-07 18:18:30.076887,4300.00,BALANCE,0,0,0
2026-09-07 18:14:55.824597,4300.00,reptiloid,0,0,0
2026-09-07 18:12:04.651835,7200.00,merchant001,0,0,0
2026-09-07 17:46:22.557131,1300.00,BALANCE,0,0,0
2026-09-07 17:20:09.19561,4300.00,reptiloid,0,0,0
2026-09-07 17:17:41.847344,4300.00,card,0,0,0
2026-09-07 17:15:04.856193,1900.00,reptiloid,0,0,0
2026-09-07 17:14:04.328094,7400.00,card,0,0,0
2026-09-07 16:51:51.92751,7200.00,card,0,0,0
2026-09-07 16:39:38.758597,0.00,BALANCE,0,0,0
2026-09-07 16:31:28.467106,4300.00,reptiloid,0,0,0
2026-09-07 16:26:32.182323,900.00,BALANCE,0,0,0
2026-09-07 16:22:06.137325,7200.00,reptiloid,0,0,0
2026-09-07 16:20:59.640198,4300.00,card,0,0,0
2026-09-07 16:15:30.369262,4200.00,BALANCE,0,0,0
2026-09-07 15:58:59.637508,7200.00,card,0,0,0
2026-09-07 15:57:33.775642,1900.00,BALANCE,0,0,0
2026-09-07 15:55:35.530267,4300.00,reptiloid,0,0,0
2026-09-07 15:52:17.37327,3200.00,merchant001,0,0,0
2026-09-07 15:48:13.634398,4300.00,reptiloid,0,0,0
2026-09-07 15:46:16.876208,7200.00,reptiloid,0,0,0
2026-09-07 15:44:46.183833,7200.00,merchant001,0,0,0
2026-09-07 15:43:28.917049,7200.00,card,0,0,0
2026-09-07 15:38:51.234586,0.00,BALANCE,0,0,0
2026-09-07 15:36:06.096261,7200.00,reptiloid,0,0,0
2026-09-07 15:35:30.146882,2200.00,BALANCE,0,0,0
2026-09-07 15:35:13.683434,4300.00,card,0,0,0
2026-09-07 15:15:53.282776,3200.00,reptiloid,0,0,0
2026-09-07 15:14:27.048923,1300.00,BALANCE,0,0,0
2026-09-07 15:09:15.882772,1300.00,BALANCE,0,0,0
2026-09-07 15:02:45.161999,0.00,BALANCE,0,0,0
2026-09-07 14:49:54.733653,1900.00,reptiloid,0,0,0
2026-09-07 14:43:36.897018,7200.00,reptiloid,0,0,0
2026-09-07 14:35:51.771343,4300.00,reptiloid,0,0,0
2026-09-07 14:24:19.151055,900.00,BALANCE,0,0,0
2026-09-07 14:23:36.485586,0.00,BALANCE,0,0,0
2026-09-07 14:10:36.325307,7200.00,reptiloid,0,0,0
