date,amount,method,btc,ltc,usdt
2026-05-05,4000.00,BALANCE,0,0,0
2026-05-05,2000.00,BALANCE,0,0,0
2026-05-05,2500.00,BALANCE,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,4000.00,transa,0,0,0
2026-05-05,4000.00,BALANCE,0,0,0
2026-05-05,4000.00,BALANCE,0,0,0
2026-05-05,2900.00,card,0,0,0
2026-05-05,4000.00,transa,0,0,0
2026-05-05,4000.00,transa,0,0,0
2026-05-05,4000.00,transa,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,3200.00,BALANCE,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,3200.00,card,0,0,0
2026-05-05,4000.00,card,0,0,0
2026-05-05,2500.00,BALANCE,0,0,0
2026-05-05,2500.00,transa,0,0,0
2026-05-05,4000.00,BALANCE,0,0,0
2026-05-05,2800.000,USDT,0,0,39.896000
2026-05-05,4000.00,BALANCE,0,0,0
2026-05-05,4000.00,juppiter,0,0,0
2026-05-05,1700.00,card,0,0,0
2026-05-05,7300.00,card,0,0,0
2026-05-04,2500.00,BALANCE,0,0,0
2026-05-04,2800.000,USDT,0,0,39.896000
2026-05-04,2800.000,USDT,0,0,39.896000
2026-05-04,2000.00,card,0,0,0
2026-05-04,2900.00,BALANCE,0,0,0
2026-05-04,2900.00,transa,0,0,0
2026-05-04,5110.000,USDT,0,0,72.811000
2026-05-04,4200.00,BALANCE,0,0,0
2026-05-04,4200.00,card,0,0,0
2026-05-04,2900.00,card,0,0,0
2026-05-04,2900.00,card,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,3200.00,transa,0,0,0
2026-05-04,2900.00,transa,0,0,0
2026-05-04,2500.00,BALANCE,0,0,0
2026-05-04,2000.00,card,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,2900.00,card,0,0,0
2026-05-04,3100.00,card,0,0,0
2026-05-04,2900.00,card,0,0,0
2026-05-04,2800.000,USDT,0,0,39.896000
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,4000.00,transa,0,0,0
2026-05-04,2500.00,BALANCE,0,0,0
2026-05-04,1700.00,BALANCE,0,0,0
2026-05-04,1700.00,card,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,2900.00,card,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,2900.00,BALANCE,0,0,0
2026-05-04,2900.00,transa,0,0,0
2026-05-04,2000.00,transa,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,2500.00,transa,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,5110.000,USDT,0,0,72.811000
2026-05-04,4000.00,card,0,0,0
2026-05-04,5110.000,USDT,0,0,72.811000
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,3200.00,transa,0,0,0
2026-05-04,4000.00,transa,0,0,0
2026-05-04,2900.00,transa,0,0,0
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,1700.00,BALANCE,0,0,0
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,2000.00,transa,0,0,0
2026-05-04,1700.00,BALANCE,0,0,0
2026-05-04,4000.00,card,0,0,0
2026-05-04,2500.00,BALANCE,0,0,0
2026-05-04,2900.00,transa,0,0,0
2026-05-04,2900.00,BALANCE,0,0,0
2026-05-04,3200.00,card,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,2000.00,BALANCE,0,0,0
2026-05-04,7300.00,BALANCE,0,0,0
2026-05-04,2000.00,card,0,0,0
2026-05-04,4000.00,BALANCE,0,0,0
2026-05-04,4000.00,card,0,0,0
