date,amount,method,btc,ltc,usdt
2026-05-19,4500.00,card,0,0,0
2026-05-19,2730.000,USDT,0,0,38.899000
2026-05-19,4500.00,nirvana,0,0,0
2026-05-19,3900.00,BALANCE,0,0,0
2026-05-18,3200.00,BALANCE,0,0,0
2026-05-18,3150.000,USDT,0,0,44.883000
2026-05-18,3000.00,BALANCE,0,0,0
2026-05-18,4500.00,BALANCE,0,0,0
2026-05-18,4500.00,BALANCE,0,0,0
2026-05-18,3000.00,transa,0,0,0
2026-05-18,3200.00,BALANCE,0,0,0
2026-05-18,3150.000,USDT,0,0,44.883000
2026-05-18,2240.000,USDT,0,0,31.917000
2026-05-18,3150.000,USDT,0,0,44.883000
2026-05-18,2240.000,USDT,0,0,31.917000
2026-05-18,3000.00,BALANCE,0,0,0
2026-05-18,3200.00,card,0,0,0
2026-05-18,3000.00,BALANCE,0,0,0
2026-05-18,4500.00,card,0,0,0
2026-05-18,4500.00,BALANCE,0,0,0
2026-05-18,3200.00,card,0,0,0
2026-05-18,4500.00,BALANCE,0,0,0
2026-05-18,3900.00,BALANCE,0,0,0
2026-05-18,4500.00,card,0,0,0
2026-05-18,14000.00,BALANCE,0,0,0
2026-05-18,3900.00,BALANCE,0,0,0
2026-05-18,3200.00,card,0,0,0
2026-05-18,3200.00,transa,0,0,0
2026-05-18,3200.00,BALANCE,0,0,0
2026-05-18,2900.00,transa,0,0,0
2026-05-18,3150.000,USDT,0,0,44.883000
2026-05-18,4500.00,BALANCE,0,0,0
2026-05-18,3900.00,card,0,0,0
2026-05-18,9800.000,USDT,0,0,139.637000
2026-05-18,3200.00,BALANCE,0,0,0
2026-05-18,3000.00,card,0,0,0
2026-05-18,3900.00,card,0,0,0
2026-05-18,4500.00,card,0,0,0
2026-05-18,14000.00,card,0,0,0
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,3900.00,BALANCE,0,0,0
2026-05-17,2100.000,USDT,0,0,29.922000
2026-05-17,3000.00,BALANCE,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,3000.00,BALANCE,0,0,0
2026-05-17,3000.00,transa,0,0,0
2026-05-17,3000.00,transa,0,0,0
2026-05-17,2900.00,transa,0,0,0
2026-05-17,3150.000,USDT,0,0,44.883000
2026-05-17,4500.00,transa,0,0,0
2026-05-17,3200.00,transa,0,0,0
2026-05-17,3000.00,BALANCE,0,0,0
2026-05-17,14000.00,transa,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,4400.00,BALANCE,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,3000.00,BALANCE,0,0,0
2026-05-17,3900.00,nirvana,0,0,0
2026-05-17,2240.000,USDT,0,0,31.917000
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,9800.000,USDT,0,0,139.637000
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,3000.00,BALANCE,0,0,0
2026-05-17,2100.000,USDT,0,0,29.922000
2026-05-17,3200.00,card,0,0,0
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,3200.00,card,0,0,0
2026-05-17,3000.00,card,0,0,0
2026-05-17,4200.00,card,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,4500.00,card,0,0,0
2026-05-17,2900.00,BALANCE,0,0,0
2026-05-17,4500.00,transa,0,0,0
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,2100.000,USDT,0,0,29.922000
2026-05-17,3150.000,USDT,0,0,44.883000
2026-05-17,4500.00,BALANCE,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,2900.00,transa,0,0,0
2026-05-17,3200.00,transa,0,0,0
2026-05-17,3200.00,BALANCE,0,0,0
2026-05-17,3200.00,transa,0,0,0
2026-05-17,4500.00,nirvana,0,0,0
2026-05-17,3150.000,USDT,0,0,44.883000
2026-05-16,3200.00,transa,0,0,0
2026-05-16,3200.00,transa,0,0,0
2026-05-16,2240.000,USDT,0,0,31.917000
2026-05-16,14000.00,BALANCE,0,0,0
2026-05-16,3900.00,BALANCE,0,0,0
2026-05-16,3150.000,USDT,0,0,44.883000
2026-05-16,3200.00,transa,0,0,0
2026-05-16,4500.00,BALANCE,0,0,0
2026-05-16,4400.00,transa,0,0,0
2026-05-16,4500.00,BALANCE,0,0,0
2026-05-16,3200.00,BALANCE,0,0,0
2026-05-16,2240.000,USDT,0,0,31.917000
2026-05-16,2100.000,USDT,0,0,29.922000
2026-05-16,4500.00,BALANCE,0,0,0
2026-05-16,3200.00,BALANCE,0,0,0
2026-05-16,3150.000,USDT,0,0,44.883000
2026-05-16,3150.000,USDT,0,0,44.883000
2026-05-16,9800.000,USDT,0,0,139.637000
2026-05-16,4500.00,transa,0,0,0
2026-05-16,4500.00,card,0,0,0
2026-05-16,4200.00,BALANCE,0,0,0
2026-05-16,3150.000,USDT,0,0,44.883000
2026-05-16,4000.00,nirvana,0,0,0
2026-05-16,4500.00,transa,0,0,0
2026-05-16,3000.00,transa,0,0,0
2026-05-16,4500.00,BALANCE,0,0,0
2026-05-16,3150.000,USDT,0,0,44.883000
2026-05-16,3200.00,BALANCE,0,0,0
2026-05-16,4500.00,transa,0,0,0
2026-05-16,2030.000,USDT,0,0,28.925000
2026-05-16,4500.00,BALANCE,0,0,0
2026-05-16,3200.00,BALANCE,0,0,0
2026-05-16,3900.00,BALANCE,0,0,0
2026-05-16,3200.00,BALANCE,0,0,0
2026-05-16,3900.00,BALANCE,0,0,0
2026-05-15,4500.00,transa,0,0,0
2026-05-15,2900.00,transa,0,0,0
2026-05-15,2900.00,card,0,0,0
2026-05-15,2030.000,USDT,0,0,28.925000
2026-05-15,3200.00,card,0,0,0
2026-05-15,2900.00,transa,0,0,0
2026-05-15,4500.00,BALANCE,0,0,0
2026-05-15,2900.00,BALANCE,0,0,0
2026-05-15,2900.00,BALANCE,0,0,0
2026-05-15,4200.00,card,0,0,0
2026-05-15,3000.00,BALANCE,0,0,0
2026-05-15,2030.000,USDT,0,0,28.925000
2026-05-15,3200.00,BALANCE,0,0,0
2026-05-15,2100.000,USDT,0,0,29.922000
2026-05-15,4000.00,card,0,0,0
2026-05-15,3000.00,BALANCE,0,0,0
2026-05-15,3150.000,USDT,0,0,44.883000
2026-05-15,3200.00,BALANCE,0,0,0
2026-05-15,2030.000,USDT,0,0,28.925000
2026-05-15,2900.00,card,0,0,0
2026-05-15,3200.00,BALANCE,0,0,0
2026-05-15,2900.00,transa,0,0,0
2026-05-15,2240.000,USDT,0,0,31.917000
2026-05-15,2900.00,BALANCE,0,0,0
2026-05-15,2900.00,transa,0,0,0
2026-05-15,3000.00,transa,0,0,0
2026-05-15,3900.00,BALANCE,0,0,0
2026-05-15,3200.00,BALANCE,0,0,0
2026-05-15,2900.00,card,0,0,0
2026-05-15,3900.00,BALANCE,0,0,0
2026-05-15,3900.00,card,0,0,0
2026-05-15,3200.00,card,0,0,0
2026-05-15,2900.00,BALANCE,0,0,0
2026-05-15,4200.00,card,0,0,0
2026-05-15,3900.00,BALANCE,0,0,0
2026-05-14,3000.00,card,0,0,0
2026-05-14,3200.00,BALANCE,0,0,0
2026-05-14,3000.00,BALANCE,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,3150.000,USDT,0,0,44.883000
2026-05-14,2730.000,USDT,0,0,38.899000
2026-05-14,3000.00,card,0,0,0
2026-05-14,4500.00,BALANCE,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-14,4500.00,BALANCE,0,0,0
2026-05-14,3200.00,transa,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,2900.00,transa,0,0,0
2026-05-14,2240.000,USDT,0,0,31.917000
2026-05-14,2900.00,transa,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,2030.000,USDT,0,0,28.925000
2026-05-14,2900.00,card,0,0,0
2026-05-14,4500.00,BALANCE,0,0,0
2026-05-14,3000.00,card,0,0,0
2026-05-14,2900.00,card,0,0,0
2026-05-14,3200.00,BALANCE,0,0,0
2026-05-14,3200.00,transa,0,0,0
2026-05-14,3200.00,transa,0,0,0
2026-05-14,3200.00,transa,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,3000.00,card,0,0,0
2026-05-14,3000.00,card,0,0,0
2026-05-14,3200.00,BALANCE,0,0,0
2026-05-14,4500.00,card,0,0,0
2026-05-14,4400.00,card,0,0,0
2026-05-14,4000.00,card,0,0,0
2026-05-14,2030.000,USDT,0,0,28.925000
2026-05-14,2900.00,BALANCE,0,0,0
2026-05-13,4500.00,card,0,0,0
2026-05-13,3200.00,card,0,0,0
2026-05-13,3900.00,BALANCE,0,0,0
2026-05-13,3000.00,transa,0,0,0
2026-05-13,3900.00,BALANCE,0,0,0
2026-05-13,3200.00,BALANCE,0,0,0
2026-05-13,4500.00,BALANCE,0,0,0
2026-05-13,2900.00,BALANCE,0,0,0
2026-05-13,3200.00,card,0,0,0
2026-05-13,3200.00,BALANCE,0,0,0
2026-05-13,3200.00,BALANCE,0,0,0
2026-05-13,3200.00,BALANCE,0,0,0
2026-05-13,3900.00,card,0,0,0
2026-05-13,3200.00,BALANCE,0,0,0
