date_time,amount,method,btc,ltc,usdt
2026-09-02 00:26:04.477642,2800.00,BALANCE,0,0,0
2026-09-02 00:11:05.179854,7200.00,merchant001,0,0,0
2026-09-02 00:10:21.470488,0.00,BALANCE,0,0,0
2026-09-02 00:07:02.913153,2300.00,BALANCE,0,0,0
2026-09-01 23:47:16.843401,4300.00,card,0,0,0
2026-09-01 23:43:32.113576,4300.00,card,0,0,0
2026-09-01 23:37:47.321496,7200.00,BALANCE,0,0,0
2026-09-01 23:35:33.974773,3200.00,card,0,0,0
2026-09-01 23:35:29.752139,4300.00,BALANCE,0,0,0
2026-09-01 23:03:07.145965,7200.00,reptiloid,0,0,0
2026-09-01 22:56:59.482667,4200.00,BALANCE,0,0,0
2026-09-01 22:54:07.726734,3200.00,nirvana,0,0,0
2026-09-01 22:45:00.484678,7200.00,reptiloid,0,0,0
2026-09-01 22:39:21.675781,4300.00,merchant001,0,0,0
2026-09-01 22:33:22.286839,7700.00,card,0,0,0
2026-09-01 22:18:01.227272,4300.00,reptiloid,0,0,0
2026-09-01 22:10:16.006705,3200.00,reptiloid,0,0,0
2026-09-01 22:09:21.519013,3300.00,BALANCE,0,0,0
2026-09-01 21:56:36.87975,3200.00,nirvana,0,0,0
2026-09-01 21:54:33.16993,3200.00,reptiloid,0,0,0
2026-09-01 21:28:11.272019,7200.00,reptiloid,0,0,0
2026-09-01 21:26:47.015011,7200.00,reptiloid,0,0,0
2026-09-01 21:13:24.624722,3300.00,BALANCE,0,0,0
2026-09-01 20:20:45.339153,3300.00,BALANCE,0,0,0
2026-09-01 20:17:53.685812,7500.00,BALANCE,0,0,0
2026-09-01 20:13:00.559812,3000.00,BALANCE,0,0,0
2026-09-01 19:59:55.125142,7200.00,reptiloid,0,0,0
2026-09-01 19:38:10.46441,3200.00,reptiloid,0,0,0
2026-09-01 19:14:57.110083,900.00,BALANCE,0,0,0
2026-09-01 19:14:28.08273,3200.00,BALANCE,0,0,0
2026-09-01 19:02:11.232701,4300.00,reptiloid,0,0,0
2026-09-01 19:01:48.989769,3200.00,card,0,0,0
2026-09-01 18:54:26.310646,7200.00,reptiloid,0,0,0
2026-09-01 18:46:54.604744,1400.00,BALANCE,0,0,0
2026-09-01 18:42:47.322508,4300.00,card,0,0,0
2026-09-01 18:23:55.195077,1900.00,reptiloid,0,0,0
2026-09-01 18:12:15.063895,1900.00,card,0,0,0
2026-09-01 18:09:18.040367,5040.000,USDT,0,0,71.813000
2026-09-01 17:55:30.890095,7200.00,reptiloid,0,0,0
2026-09-01 17:45:31.529553,4300.00,card,0,0,0
2026-09-01 17:43:30.172364,3400.00,BALANCE,0,0,0
2026-09-01 17:43:03.809338,7200.00,BALANCE,0,0,0
2026-09-01 17:40:34.392788,4300.00,reptiloid,0,0,0
2026-09-01 17:38:04.930564,4300.00,merchant001,0,0,0
2026-09-01 17:33:09.211922,7200.00,reptiloid,0,0,0
2026-09-01 17:32:31.199593,1900.00,reptiloid,0,0,0
2026-09-01 17:29:12.985875,3200.00,reptiloid,0,0,0
2026-09-01 17:19:28.332424,1900.00,reptiloid,0,0,0
2026-09-01 17:18:34.992241,3200.00,reptiloid,0,0,0
2026-09-01 17:02:38.373524,4300.00,reptiloid,0,0,0
2026-09-01 16:57:56.372166,7700.00,BALANCE,0,0,0
2026-09-01 16:50:50.671669,0.00,BALANCE,0,0,0
2026-09-01 16:32:19.33406,0.00,BALANCE,0,0,0
2026-09-01 16:17:30.908948,7200.00,card,0,0,0
2026-09-01 16:11:02.298337,4300.00,reptiloid,0,0,0
2026-09-01 15:35:40.364122,4300.00,reptiloid,0,0,0
2026-09-01 15:18:53.190563,4300.00,card,0,0,0
2026-09-01 15:02:08.246689,1900.00,card,0,0,0
2026-09-01 14:59:33.213884,4300.00,reptiloid,0,0,0
2026-09-01 14:09:23.940462,10500.00,merchant001,0,0,0
2026-09-01 14:08:25.547684,10500.00,BALANCE,0,0,0
2026-09-01 14:06:13.115064,1300.00,BALANCE,0,0,0
2026-09-01 14:04:10.829485,4300.00,reptiloid,0,0,0
2026-09-01 14:02:55.18583,10500.00,reptiloid,0,0,0
2026-09-01 14:02:41.611434,4300.00,card,0,0,0
2026-09-01 13:32:24.389913,1900.00,reptiloid,0,0,0
2026-09-01 13:25:44.795984,4300.00,card,0,0,0
2026-09-01 13:18:55.710459,0.00,BALANCE,0,0,0
2026-09-01 13:15:28.351595,4300.00,card,0,0,0
2026-09-01 13:02:55.586137,1300.00,BALANCE,0,0,0
2026-09-01 12:50:46.42801,7200.00,merchant001,0,0,0
2026-09-01 12:45:01.42018,7200.00,BALANCE,0,0,0
2026-09-01 12:44:11.263564,4300.00,reptiloid,0,0,0
2026-09-01 12:42:48.33881,7200.00,reptiloid,0,0,0
2026-09-01 12:42:36.281396,7200.00,reptiloid,0,0,0
2026-09-01 12:41:54.262892,7200.00,reptiloid,0,0,0
2026-09-01 12:38:37.340072,4300.00,reptiloid,0,0,0
2026-09-01 12:33:35.769908,1300.00,BALANCE,0,0,0
2026-09-01 12:33:17.748262,1900.00,card,0,0,0
2026-09-01 12:26:42.935332,1900.00,reptiloid,0,0,0
2026-09-01 12:25:19.330833,1900.00,card,0,0,0
2026-09-01 11:53:56.272656,1900.00,card,0,0,0
